week_start	sub-353936/sub-353936_ses-20170519_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170608_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170609_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170610_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170611_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170612_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170617_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170618_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170619_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170621_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170622_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170623_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170624_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170625_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170612_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170614_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170615_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170616_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170617_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170618_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170619_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170621_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170622_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170623_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170624_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170625_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170626_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170628_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170629_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170630_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170701_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170112_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170113_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170114_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170115_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170116_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170119_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170120_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170122_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170123_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170124_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170125_behavior+ecephys+ogen.nwb	sub-359855/sub-359855_ses-20161220_behavior+ecephys+ogen.nwb	sub-359855/sub-359855_ses-20161221_behavior+ecephys+ogen.nwb	sub-359855/sub-359855_ses-20161222_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170218_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170219_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170220_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170221_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170222_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170223_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170224_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170227_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170228_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170301_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170302_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170303_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170309_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171017_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171019_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171020_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171021_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171024_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171025_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171027_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171030_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171031_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171101_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171102_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171103_behavior+ecephys+ogen.nwb	sub-365939/sub-365939_ses-20171017_behavior+ecephys+ogen.nwb	sub-365939/sub-365939_ses-20171018_behavior+ecephys+ogen.nwb	sub-365939/sub-365939_ses-20171019_behavior+ecephys+ogen.nwb	sub-365939/sub-365939_ses-20171020_behavior+ecephys+ogen.nwb	sub-365939/sub-365939_ses-20171021_behavior+ecephys+ogen.nwb	sub-365939/sub-365939_ses-20171102_behavior+ecephys+ogen.nwb	sub-365939/sub-365939_ses-20171103_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170708_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170709_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170710_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170711_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170712_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170713_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170714_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170715_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170717_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170718_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170719_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170720_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170724_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170725_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170726_behavior+ecephys+ogen.nwb	sub-365943/sub-365943_ses-20170708_behavior+ecephys+ogen.nwb	sub-365943/sub-365943_ses-20170711_behavior+ecephys+ogen.nwb	sub-365943/sub-365943_ses-20170712_behavior+ecephys+ogen.nwb	sub-365943/sub-365943_ses-20170713_behavior+ecephys+ogen.nwb	sub-365943/sub-365943_ses-20170719_behavior+ecephys+ogen.nwb	sub-365943/sub-365943_ses-20170720_behavior+ecephys+ogen.nwb
2022-10-31	14170028	0	0	0	7574336	0	0	8591932	22142966	15179828	0	0	0	0	0	13275254	0	0	7762632	0	7410982	0	0	0	0	11574692	0	0	0	0	3096356	7614808	4145888	0	0	10832980	0	6690460	0	11676588	24746456	2932196	0	0	0	0	0	0	0	6659080	0	0	0	0	0	0	0	4988784	8519414	12537398	0	0	0	15164781	0	0	0	14865227	0	0	0	0	0	0	3648856	0	0	5038432	0	0	10395712	0	0	18042150	0	14441900	0	0	1976904	0	3204320	10220086	5742612	0	0	1089268	0	5153960
2022-11-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9158232	0	0	0	0	0	0	9522765	0	0	0	0	0	0	0	0	0	0	0	0	0	6659080	0	0	0	0	0	0	0	0	0	6702764	0	0	0	0	0	6636400	0	0	0	0	0	0	7517704	0	2190012	0	0	0	0	2722828	0	0	11680064	5242880	0	18980104	0	0	1976904	0	0	0	5242880	3063232	0	0	8460941	0
2022-12-05	0	21673120	0	21236404	7574336	14018144	35969044	8591932	22142966	0	0	18372604	7640664	0	0	13275254	4479460	11546464	0	12918587	7410982	0	1815784	0	0	11574692	0	0	19372960	0	0	0	0	15055580	0	0	0	0	4827428	0	24746456	0	0	2181884	6156388	0	0	10676668	0	6659080	0	0	18281812	15692488	0	0	0	0	0	0	0	6673660	0	0	0	10344176	0	0	5414812	0	11182288	15220827	0	0	0	0	4569356	0	0	18451468	0	0	0	0	0	14441900	0	9418650	0	0	0	0	0	3063232	3399332	1089268	0	0
2022-12-12	0	19975564	0	0	0	12110961	37792891	0	14433701	10053677	11115501	11314593	0	0	0	25552594	0	0	0	21534649	0	0	0	0	21168797	9622780	0	0	35305648	0	0	0	0	12177325	0	0	0	0	0	31485773	9490052	0	0	0	0	0	12243689	0	0	0	0	0	18713710	0	0	0	0	0	0	0	0	0	0	14600080	0	0	0	12940980	0	0	0	13007344	0	0	0	0	0	0	0	0	0	0	10020964	0	12774601	28070151	20917895	0	0	0	0	0	0	0	0	0	49078070	0
2023-01-02	9257309	39252899	21202829	0	0	13969153	0	0	13106421	0	37031112	0	0	0	0	0	0	0	0	0	0	0	0	0	10020964	11574692	0	0	0	14135532	0	0	0	9920949	0	9987313	0	0	0	0	25151018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11193860	0	0	0	0	0	0	0	0	0	0	0	23890102	0	0	44729152	28038321	0	0	0	0	0	0	0	0	0	0	24819198	36599277	13836425	11314593	0	0	0	0	0	0	0	0	0	0	0	0
2023-02-06	120912394	90053134	100406856	94598599	0	173105335	102295057	0	157444424	159301678	79765831	92543191	0	0	0	167795277	0	145197987	0	98579556	0	0	0	0	124061196	85735055	0	7435472	102562279	195137245	0	0	0	95393201	125058792	153991620	137023829	0	0	209073685	107009605	0	0	0	0	154160758	105682325	0	0	0	0	0	132558807	156447033	0	165441330	0	0	0	181367184	0	0	120279646	80463067	0	0	0	97286810	0	0	127780507	135211491	0	0	0	0	0	0	127779661	150277057	0	57238481	101997716	62844887	157908034	117227840	41044727	0	0	0	0	0	0	0	0	0	165772582	0
2023-02-13	0	0	0	0	0	0	0	0	16777216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7965708	10395712	6806011	8281534	7556390	6291182	9199020	10864218	9418650	1976904	9891160	3204320	10220086	5742612	3063232	3399332	1089268	8862300	5153960
2023-02-20	0	0	0	0	0	0	0	0	8388608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6666972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11193860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8388608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-03	0	67058477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87564070	0	0	0	0	0	0	0	0	0	0	149414325	0	0	0	0	0	0	0	0	0	0	0	0	308585151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188468095	187272642	0	0	0	0	0	0	0	0	0	210566461	0	177218965	0	0	0	0	0	0	0	0	0	0	0	0	169224448	0
2023-04-10	14170028	21673120	26013488	21236404	7574336	14018144	35969044	0	66428898	15179828	26041088	18372604	22921992	9064920	0	0	4479460	0	7762632	12918587	0	0	0	8002968	11115120	0	8931068	7435472	0	14435412	0	0	0	203912903	290068320	0	0	13380920	4827428	11676588	0	5864392	0	4363768	0	307880769	15581024	10676668	5934672	6659080	4256508	0	18281812	15692488	5252620	11193860	5003212	0	17038828	0	0	0	14745146	15164781	0	0	10877064	14865227	0	6199300	0	0	0	5800192	0	3478388	4569356	0	12402586	240465195	0	12048891	0	0	16776942	14441900	10864218	0	1976904	19782320	3204320	10220086	11485224	6126464	3399332	1089268	14105180	5153960
2023-04-17	0	143641595	0	0	0	0	0	0	0	0	0	0	7640664	0	0	126088786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81791285	0	0	139145711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125225116	0	90851378	0	160131642	0	0	0	0	0	0	3204320	0	0	0	0	0	0	0
2023-04-24	0	0	0	0	0	0	0	0	0	0	0	177781652	0	0	0	0	0	0	0	0	0	0	0	0	153096472	0	0	0	155519813	218195562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221280667	0	0	0	0	0	0	0	119783268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-01	0	0	157011651	0	0	269744783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91038818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123167887	0	0	106411391	0	0	0	0	0	0	0	0	269757686	0	0	0	0	0	0	0	0	0	0	87895835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-08	0	0	0	0	0	0	0	0	16777216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217501434	148870272	0	0	0	0	0	0	0	0	265017654	170519953	0	0	0	0	0	0	0	0	82666012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225831064	0	0	0	1976904	0	0	0	0	0	0	0	260636637	0
2023-05-15	0	0	0	0	0	133621569	0	0	0	0	135922975	0	0	0	0	0	0	225561116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215542768	134316640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187303534	0	0	0	0	0	0	0	0	0	0	0	160166286	223904742	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-22	1994096	0	114275994	0	0	169970730	0	0	420572992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139360703	0	0	0	0	0	0	0	151572617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87101343	0	0	0	0	0	0	141446185	0	0	103923210	214945547	0	0	0	0	0	0	0	0	5242880	0	0	0	0	0	0	0	0	0	162121679	0	0	0	5441848	0	0	0	0	0	0	0	0	0	0	0
2023-05-29	69862149	0	320195154	0	0	0	0	0	0	282171341	0	152434411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119586052	0	324481597	0	0	0	163578165	0	0	0	0	0	0	0	247163034	0	0	162453407	0	0	0	0	0	0	0	106609545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-05	126209301	0	0	0	0	0	0	0	0	0	177254492	0	0	0	0	250683968	0	0	0	194452205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229278795	350238017	82873564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83550400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-12	1930800	0	0	0	0	0	0	0	51607644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259373072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114773255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234554647	0
2023-06-19	10921604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10132428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	51188724	0	228817444	0	7574336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163649872	0	236808838	0	0	223238454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265098805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265049396	0	0	0	0	199481797	0	0	0	0	0	0	0	0	0	0	0	0	187570866	0
2023-07-03	985384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275141447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141750690	0	0	0	0	0	0	0	130434221	0	0	0	0	0	0	0	219788188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-10	1614512	0	0	0	0	0	0	0	138169848	0	0	247205900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231144092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168895460	0	0	0	0	0	0	0	0	0	0	0	289811588	155689944	0	227163972	0	9418650	0	0	0	0	0	0	0	0	0	0
2023-07-17	1987336	0	0	206155545	0	0	0	0	0	0	0	0	0	0	0	0	0	193382996	0	0	0	0	0	0	235181196	0	0	0	0	278794336	0	0	0	0	0	0	0	0	0	0	170086297	0	0	0	0	0	270496022	0	0	0	0	0	161264520	0	0	0	0	0	0	172742788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181399897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345181559	0
2023-07-24	1802056	0	0	0	0	0	0	0	0	0	0	0	0	0	9310154	0	0	0	0	0	0	0	0	0	218923661	218622201	0	0	0	0	0	0	0	0	0	0	273576734	0	0	0	306687735	0	0	0	0	0	0	0	0	0	0	0	0	75122172	0	0	0	0	0	0	0	0	0	142945242	0	5101296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126655767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-31	38771223	0	0	0	0	0	8096408	0	12675524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10551876	0	0	0	0	6304580	0	0	0	0	0	0	0	0	0	0	0	12011884	10419148	0	5934672	0	0	0	0	10087328	0	0	0	0	0	0	0	0	6370944	0	0	6437308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6503672	0	6238216	0	6901856	0	0	0	0	0	0	0	0	0	1089268	6636400	0
2023-08-07	1476680	0	147924528	0	0	0	0	0	213890344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343364852	0	0	0	0	0	0	159247208	0	0	0	0	2932196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6370944	0	0	0	0	0	161463612	0	0	0	0	0	0	0	0	0	0	0	0	0	2720924	0	0	0	0	0
2023-08-14	29250168	21673120	26013488	251121300	15148672	28036288	130338652	17183864	253597160	15179828	13020544	18372604	7640664	4532460	0	407279120	4479460	11546464	7762632	12918587	0	0	0	0	0	11574692	0	0	0	0	3096356	0	0	265057816	11546992	0	11268684	0	4827428	11676588	0	2932196	0	2181884	6156388	0	0	10676668	0	0	4256508	6511672	156088128	15692488	0	0	5003212	4988784	8519414	0	9095204	0	0	227994129	0	0	5438532	14865227	0	6199300	11182288	0	15035408	5800192	3648856	3478388	4569356	5038432	12402586	18451468	10395712	12048891	29253054	18042150	16776942	300470740	10864218	9418650	1976904	9891160	3204320	10220086	5742612	3063232	3399332	1089268	143647708	5153960
2023-08-21	1572592	0	228491252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205860300	0	0	0	0	0	0	157069564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218693828	0	0	0	0	0	0	0	275608864	0	0	0	248266896	0	0	0	0	0	0	0	0	0	0	0	0	0	208714780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-28	2932072	0	0	0	0	190730136	173939216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5447352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4827428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278396152	0	0	0	0	0	166373720	0	0	210240324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255102388	0	0	0	0	3953808	0	0	0	0	0	0	0	0	0
2023-09-04	1747376	139230844	0	79968620	0	0	0	0	207982292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166628352	0	0	0	0	0	0	0	0	0	213309544	0	0	0	0	318743808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208249404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-11	21790552	0	0	0	0	0	0	0	0	155756308	0	0	0	0	0	112686072	0	0	0	0	0	0	0	0	0	0	0	0	223578660	0	0	0	0	257226864	94567872	0	0	0	0	161194680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217307124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-18	112748976	0	0	0	0	0	0	0	0	0	0	160600052	0	0	0	0	0	0	0	161729068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246673332	259017864	0	0	0	0	0	118258164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166506448	0	0	0	0	0	0	202342180	0	0	0	0	0	169427292	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-25	32236315	21673120	13006744	21236404	7574336	14018144	35969044	8591932	22142966	15179828	194272172	18372604	7640664	4532460	9310154	13275254	4479460	11546464	7762632	12918587	7410982	6006748	1815784	8002968	117927128	11574692	8931068	7435472	19372960	14435412	3096356	7614808	4145888	15055580	11546992	10832980	11268684	6690460	4827428	11676588	24746456	2932196	10132428	2181884	6156388	12872388	15581024	10676668	5934672	6659080	4256508	6511672	18281812	15692488	5252620	11193860	5003212	4988784	8519414	12537398	9095204	6673660	14745146	15164781	5359748	10344176	5438532	14865227	5414812	6199300	0	15220827	7517704	0	3648856	3478388	4569356	0	12402586	0	10395712	12048891	29253054	18042150	0	14441900	10864218	0	3953808	9891160	3204320	0	0	3063232	0	1089268	14105180	0
2023-10-02	572152	0	0	0	0	0	0	0	0	0	140558952	0	0	0	0	181507994	0	0	0	0	0	0	0	0	0	123038856	0	0	192521964	215152088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185288288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-09	123448	0	106049072	87135104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214422084	0	0	0	0	0	102786184	0	0	0	0	0	0	0	0	0	176692264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112885164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5038432	215940146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285895284	0	0	2805252	0	0	0	72734116	0	0	137239924	0	0	0	0	0	0	0	114145252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265919720	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3631568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12872388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5359748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1976904	0	0	0	0	0	0	0	0	0
2023-10-30	100912	69947656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1815784	0	0	0	8931068	0	0	0	0	0	0	0	83353184	0	0	0	0	57467748	0	0	0	0	0	0	100805260	0	0	0	0	0	182930896	0	0	0	0	4446388	0	0	0	0	132263452	0	0	0	0	86537828	0	0	0	0	0	0	0	3478388	0	0	0	0	0	0	170752088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198803240	0	0	0	0	0	0	0	0	0	182465932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7517704	0	0	0	0	0	0	0	0	0	0	0	137041660	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-13	41742956	0	0	0	0	0	0	0	154030016	0	0	0	0	0	0	201280356	0	0	0	0	0	0	1815784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43402056	0	0	0	0	0	0	0	0	0	0	0	0	0	5153960
2023-11-20	209547343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10132428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	14663404	21673120	13006744	21236404	0	0	35969044	0	0	0	0	18372604	0	0	0	13275254	4479460	11546464	0	12918587	7410982	0	1815784	8002968	0	11574692	8931068	7435472	0	0	3096356	7614808	0	15055580	0	10832980	0	6690460	4827428	0	0	0	10132428	2181884	6156388	0	15581024	10676668	5934672	0	4256508	6511672	0	15692488	0	0	0	0	8519414	0	9095204	0	14745146	15164781	0	10344176	5438532	14865227	5414812	0	11182288	0	0	5800192	3648856	3478388	0	5038432	12402586	0	0	0	29253054	18042150	16776942	14441900	0	0	1976904	9891160	0	10220086	5742612	0	0	1089268	0	5153960
2023-12-04	17854296	11187360	7763864	10750644	7574336	8775264	9754644	8591932	11657206	9936948	7777664	7886844	7640664	4532460	9310154	8032374	4479460	6303584	7762632	7675707	7410982	6006748	1815784	8002968	5872240	6331812	8931068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
